pep_length	start_pos	hla	weight	w
8	5	HLA-B14:02	7.870e-01	1.574e-01
8	5	HLA-B15:01	1.274e+01	1.517e-01
8	5	HLA-B15:02	5.356e+00	1.488e-01
8	5	HLA-B15:08	1.756e-01	1.756e-01
8	5	HLA-B15:11	2.833e-01	2.833e-01
8	5	HLA-B18:01	1.668e+01	1.544e-01
8	5	HLA-B18:03	3.529e+00	1.357e-01
8	5	HLA-B27:01	1.387e+00	1.261e-01
8	5	HLA-B27:02	2.936e-01	9.786e-02
8	5	HLA-B27:04	2.964e-01	1.482e-01
8	5	HLA-B27:05	1.005e+00	7.175e-02
8	5	HLA-B27:06	1.023e-01	1.023e-01
8	5	HLA-B27:07	1.629e-01	5.428e-02
8	5	HLA-B27:08	1.530e-01	1.530e-01
8	5	HLA-B27:09	1.559e+00	1.199e-01
8	5	HLA-B35:01	3.195e+00	1.775e-01
8	5	HLA-B35:02	7.516e-02	7.516e-02
8	5	HLA-B35:03	5.312e-01	1.771e-01
8	5	HLA-B35:06	1.727e-01	1.727e-01
8	5	HLA-B35:08	4.838e-02	1.613e-02
8	5	HLA-B37:01	7.260e-01	1.210e-01
8	5	HLA-B39:01	3.267e+00	1.720e-01
8	5	HLA-B39:06	2.760e+00	1.623e-01
8	5	HLA-B39:09	3.543e-01	1.771e-01
8	5	HLA-B39:24	3.095e+00	1.629e-01
8	5	HLA-B40:01	4.731e+00	2.253e-01
8	5	HLA-B40:02	4.274e+01	1.752e-01
8	5	HLA-B41:04	7.055e-01	1.764e-01
8	5	HLA-B41:05	1.565e-01	7.826e-02
8	5	HLA-B41:06	2.063e-01	2.063e-01
8	5	HLA-B42:01	1.512e-01	1.512e-01
8	5	HLA-B44:02	2.839e+00	1.234e-01
8	5	HLA-B44:03	4.583e+00	1.637e-01
8	5	HLA-B44:08	1.536e-01	1.536e-01
8	5	HLA-B44:09	1.999e-01	3.332e-02
8	5	HLA-B45:01	2.493e-01	1.247e-01
8	5	HLA-B46:01	1.401e+00	8.758e-02
8	5	HLA-B47:01	5.980e-01	1.495e-01
8	5	HLA-B49:01	7.256e-01	1.814e-01
8	5	HLA-B50:01	9.491e-01	1.582e-01
8	5	HLA-B51:01	4.161e+01	1.756e-01
8	5	HLA-B51:08	2.649e+00	1.766e-01
8	5	HLA-B52:01	5.697e-02	5.697e-02
8	5	HLA-B54:01	2.465e+00	1.896e-01
8	5	HLA-B56:01	1.213e+00	2.021e-01
8	5	HLA-B57:01	1.344e+01	1.244e-01
8	5	HLA-B57:03	4.228e+00	1.007e-01
8	5	HLA-B58:01	6.207e+00	1.411e-01
8	5	HLA-B73:01	4.182e-01	4.182e-01
8	5	HLA-C01:02	5.368e+00	1.732e-01
8	5	HLA-C02:02	3.631e+00	1.651e-01
8	5	HLA-C03:03	4.790e+00	1.916e-01
8	5	HLA-C03:04	1.021e+01	1.926e-01
8	5	HLA-C04:01	1.639e+01	1.592e-01
8	5	HLA-C05:01	2.567e+01	1.645e-01
8	5	HLA-C06:02	6.238e+00	2.311e-01
8	5	HLA-C07:01	2.009e+00	2.009e-01
8	5	HLA-C07:02	4.877e+00	1.951e-01
8	5	HLA-C08:02	2.853e+01	1.751e-01
8	5	HLA-C12:02	3.453e-01	3.453e-01
8	5	HLA-C12:03	6.742e+00	2.107e-01
8	5	HLA-C14:02	1.696e+01	1.647e-01
8	5	HLA-C15:02	6.065e+00	1.784e-01
8	5	HLA-C16:01	2.376e+01	1.697e-01
8	5	HLA-C17:01	4.010e+00	1.604e-01
8	6	HLA-A01:01	1.603e+01	2.110e-01
8	6	HLA-A02:01	1.576e+01	1.732e-01
8	6	HLA-A02:03	4.428e-01	8.856e-02
8	6	HLA-A02:04	4.181e-01	6.968e-02
8	6	HLA-A02:05	1.483e+00	2.967e-01
8	6	HLA-A02:07	3.870e+00	3.225e-01
8	6	HLA-A03:01	3.843e+00	2.135e-01
8	6	HLA-A11:01	1.073e+00	3.575e-01
8	6	HLA-A23:01	1.461e-01	1.461e-01
8	6	HLA-A24:02	5.415e+00	1.641e-01
8	6	HLA-A24:06	1.603e-01	8.014e-02
8	6	HLA-A24:13	3.845e-03	1.282e-03
8	6	HLA-A26:01	7.963e-02	7.963e-02
8	6	HLA-A29:02	9.631e+00	1.888e-01
8	6	HLA-A31:01	1.210e+00	1.728e-01
8	6	HLA-A32:01	3.295e-01	1.647e-01
8	6	HLA-A66:02	1.734e-03	1.734e-03
8	6	HLA-A68:02	1.286e+00	1.429e-01
8	6	HLA-B07:02	2.901e+01	1.649e-01
8	6	HLA-B08:01	4.736e+01	2.213e-01
8	6	HLA-B13:01	1.522e-01	7.610e-02
8	6	HLA-B13:02	3.920e-01	1.960e-01
8	6	HLA-B14:02	9.898e-01	1.980e-01
8	6	HLA-B15:01	1.371e+01	1.632e-01
8	6	HLA-B15:02	4.684e+00	1.301e-01
8	6	HLA-B15:08	2.249e-01	2.249e-01
8	6	HLA-B15:11	1.441e-01	1.441e-01
8	6	HLA-B18:01	1.550e+01	1.435e-01
8	6	HLA-B18:03	3.487e+00	1.341e-01
8	6	HLA-B27:01	2.468e+00	2.244e-01
8	6	HLA-B27:02	5.455e-01	1.818e-01
8	6	HLA-B27:04	4.905e-01	2.453e-01
8	6	HLA-B27:05	1.764e+00	1.260e-01
8	6	HLA-B27:06	1.779e-01	1.779e-01
8	6	HLA-B27:07	1.284e-01	4.281e-02
8	6	HLA-B27:08	2.171e-01	2.171e-01
8	6	HLA-B27:09	5.040e+00	3.877e-01
8	6	HLA-B35:01	2.435e+00	1.353e-01
8	6	HLA-B35:02	3.558e-01	3.558e-01
8	6	HLA-B35:03	3.710e-01	1.237e-01
8	6	HLA-B35:06	1.685e-01	1.685e-01
8	6	HLA-B35:08	4.646e-02	1.549e-02
8	6	HLA-B37:01	8.841e-01	1.473e-01
8	6	HLA-B39:01	2.796e+00	1.472e-01
8	6	HLA-B39:06	2.474e+00	1.455e-01
8	6	HLA-B39:09	2.736e-01	1.368e-01
8	6	HLA-B39:24	2.994e+00	1.576e-01
8	6	HLA-B40:01	3.609e+00	1.719e-01
8	6	HLA-B40:02	3.983e+01	1.632e-01
8	6	HLA-B41:04	1.196e+00	2.991e-01
8	6	HLA-B41:05	3.268e-01	1.634e-01
8	6	HLA-B41:06	1.446e-01	1.446e-01
8	6	HLA-B42:01	1.818e-01	1.818e-01
8	6	HLA-B44:02	3.658e+00	1.591e-01
8	6	HLA-B44:03	5.404e+00	1.930e-01
8	6	HLA-B44:08	1.296e-01	1.296e-01
8	6	HLA-B44:09	2.733e-01	4.555e-02
8	6	HLA-B45:01	2.650e-01	1.325e-01
8	6	HLA-B46:01	1.358e+00	8.488e-02
8	6	HLA-B47:01	5.981e-01	1.495e-01
8	6	HLA-B49:01	8.227e-01	2.057e-01
8	6	HLA-B50:01	1.101e+00	1.834e-01
8	6	HLA-B51:01	3.601e+01	1.519e-01
8	6	HLA-B51:08	2.423e+00	1.615e-01
8	6	HLA-B52:01	4.142e-02	4.142e-02
8	6	HLA-B54:01	2.677e+00	2.060e-01
8	6	HLA-B56:01	1.213e+00	2.021e-01
8	6	HLA-B57:01	1.520e+01	1.408e-01
8	6	HLA-B57:03	5.706e+00	1.358e-01
8	6	HLA-B58:01	6.636e+00	1.508e-01
8	6	HLA-B73:01	3.621e-01	3.621e-01
8	6	HLA-C01:02	7.664e+00	2.472e-01
8	6	HLA-C02:02	6.481e+00	2.946e-01
8	6	HLA-C03:03	3.923e+00	1.569e-01
8	6	HLA-C03:04	7.344e+00	1.386e-01
8	6	HLA-C04:01	1.878e+01	1.824e-01
8	6	HLA-C05:01	3.161e+01	2.026e-01
8	6	HLA-C06:02	9.462e+00	3.504e-01
8	6	HLA-C07:01	1.948e+00	1.948e-01
